task	workBranch	fixBranch	fixStatus	prUrl
M4-T17	codex/MAMBO-elevation-terrain-parity-audit	agent-TOMMY-M4-T17-fix-mambo-elevation-terrain-parity-audit-06489e	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1307
M4-T18	codex/MAMBO-resources-stamping-rootcause	agent-TOMMY-M4-T18-fix-mambo-resources-stamping-rootcause-01732c	fixed	https://github.com/mateicanavra/civ7-modding-tools/pull/1308
M4-T19	codex/MAMBO-elevation-post-hydrology-lifecycle	agent-TOMMY-M4-T19-fix-mambo-elevation-post-hydrology-lifecycle-2f0228	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1309
M4-T20	codex/prr-epp-s0-plan-bootstrap	agent-TOMMY-M4-T20-fix-prr-epp-s0-plan-bootstrap-888878	fixed	https://github.com/mateicanavra/civ7-modding-tools/pull/1310
M4-T21	codex/prr-epp-s1-drift-observability	agent-TOMMY-M4-T21-fix-prr-epp-s1-drift-observability-60cf6d	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1311
M4-T22	codex/prr-epp-s2-ecology-physics-cutover	agent-TOMMY-M4-T22-fix-prr-epp-s2-ecology-physics-cutover-38049d	superseded	https://github.com/mateicanavra/civ7-modding-tools/pull/1312
M4-T23	codex/prr-epp-s3-lakes-deterministic	agent-TOMMY-M4-T23-fix-prr-epp-s3-lakes-deterministic-2ad056	fixed	https://github.com/mateicanavra/civ7-modding-tools/pull/1313
M4-T24	codex/prr-epp-s3b-lakes-regression-fix	agent-TOMMY-M4-T24-fix-prr-epp-s3b-lakes-regression-fix-08449d	superseded	https://github.com/mateicanavra/civ7-modding-tools/pull/1314
M4-T25	codex/prr-epp-s4-resources-deterministic	agent-TOMMY-M4-T25-fix-prr-epp-s4-resources-deterministic-21a5eb	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1315
M4-T26	codex/prr-epp-s5-placement-randomness-zero	agent-TOMMY-M4-T26-fix-prr-epp-s5-placement-randomness-zero-9913bc	fixed	https://github.com/mateicanavra/civ7-modding-tools/pull/1316
M4-T27	codex/prr-epp-s6-hardening-docs-tests	agent-TOMMY-M4-T27-fix-prr-epp-s6-hardening-docs-tests-4fee2c	needs-discussion	https://github.com/mateicanavra/civ7-modding-tools/pull/1317
